Current,Position,PosTgt,Speed,PosEst,DistEst,CurrentTgt,Voltage,Current-A,Channel 10
-2,17865,0,69233,17862,-3623,-617,12000,0,1.34351e+07
-13,18000,0,68645,18000,-3632,-612,12000,0,1.34351e+07
-16,18144,0,68904,18137,-3642,-612,12000,0,1.34351e+07
-16,18279,0,68905,18274,-3651,-622,12000,0,1.34351e+07
-6,18414,0,68803,18412,-3664,-622,12000,0,1.34351e+07
-19,18558,0,68612,18549,-3673,-619,12000,0,1.34351e+07
-15,18693,0,68758,18687,-3683,-619,12000,0,1.34351e+07
-11,18828,0,68647,18824,-3692,-629,12000,0,1.34351e+07
-16,18963,0,69045,18962,-3708,-626,12000,0,1.34351e+07
-13,19107,0,68743,19100,-3720,-625,12000,0,1.34351e+07
-13,19242,0,68707,19237,-3727,-635,12000,0,1.34351e+07
-13,19377,0,69195,19375,-3740,-635,12000,0,1.34351e+07
-22,19521,0,68883,19513,-3752,-632,12000,0,1.34351e+07
-13,19656,0,68030,19650,-3761,-631,12000,0,1.34351e+07
-20,19791,0,69178,19787,-3773,-642,12000,0,1.34351e+07
-8,19935,0,69085,19925,-3785,-638,12000,0,1.34351e+07
-15,20070,0,68458,20063,-3797,-637,12000,0,1.34351e+07
-17,20205,0,69044,20201,-3807,-647,12000,0,1.34351e+07
-13,20340,0,68876,20341,-3817,-646,12000,0,1.34351e+07
-3,20484,0,68357,20478,-3825,-644,12000,0,1.34351e+07
-16,20619,0,69250,20616,-3840,-653,12000,0,1.34351e+07
-2,20763,0,68859,20754,-3854,-648,12000,0,1.34351e+07
-8,20898,0,68807,20892,-3864,-648,12000,0,1.34351e+07
-6,21033,0,69152,21031,-3877,-656,12000,0,1.34351e+07
-15,21177,0,69030,21168,-3884,-653,12000,0,1.34351e+07
-10,21312,0,68474,21306,-3887,-652,12000,0,1.34351e+07
-7,21447,0,68904,21443,-3893,-662,12000,0,1.34351e+07
-15,21582,0,68594,21581,-3901,-661,12000,0,1.34351e+07
-9,21726,0,68615,21718,-3912,-659,12000,0,1.34351e+07
-19,21861,0,68459,21855,-3919,-668,12000,0,1.34351e+07
-6,21996,0,69049,21993,-3936,-668,12000,0,1.34351e+07
-16,22131,0,68575,22130,-3947,-666,12000,0,1.34351e+07
-12,22275,0,68589,22267,-3957,-665,12000,0,1.34351e+07
-20,22410,0,68886,22405,-3970,-674,12000,0,1.34351e+07
-1,22545,0,69152,22543,-3986,-674,12000,0,1.34351e+07
-10,22689,0,68733,22680,-3996,-671,12000,0,1.34351e+07
-16,22824,0,68404,22818,-4005,-671,12000,0,1.34351e+07
-7,22959,0,68967,22956,-4016,-681,12000,0,1.34351e+07
-14,23103,0,68449,23095,-4024,-678,12000,0,1.34351e+07
-13,23238,0,68933,23233,-4032,-677,12000,0,1.34351e+07
-25,23373,0,69024,23370,-4042,-686,12000,0,1.34351e+07
-12,23508,0,68851,23508,-4055,-681,12000,0,1.34351e+07
-16,23652,0,68681,23646,-4067,-681,12000,0,1.34351e+07
-14,23787,0,68771,23783,-4075,-691,12000,0,1.34351e+07
-20,23922,0,68732,23921,-4086,-688,12000,0,1.34351e+07
-4,24066,0,68862,24059,-4097,-687,12000,0,1.34351e+07
-19,24201,0,69141,24197,-4107,-696,12000,0,1.34351e+07
-10,24336,0,69008,24334,-4116,-695,12000,0,1.34351e+07
-9,24480,0,68935,24472,-4128,-692,12000,0,1.34351e+07
-9,24615,0,69340,24611,-4139,-701,12000,0,1.34351e+07
-15,24750,0,68475,24748,-4147,-700,12000,0,1.34351e+07
-13,24894,0,68845,24886,-4153,-697,12000,0,1.34351e+07
-12,25029,0,68662,25024,-4161,-706,12000,0,1.34351e+07
-25,25164,0,68996,25161,-4171,-706,12000,0,1.34351e+07
-12,25299,0,68384,25298,-4178,-703,12000,0,1.34351e+07
-18,25443,0,69032,25436,-4191,-703,12000,0,1.34351e+07
-13,25578,0,68963,25574,-4200,-712,12000,0,1.34351e+07
-21,25713,0,68831,25711,-4210,-711,12000,0,1.34351e+07
-12,25857,0,68463,25850,-4218,-709,12000,0,1.34351e+07
-17,25992,0,68979,25988,-4228,-709,12000,0,1.34351e+07
-11,26127,0,68849,26125,-4241,-718,12000,0,1.34351e+07
-2,26271,0,68237,26263,-4250,-713,-11989,0,1.34351e+07
873,26397,0,64974,26397,-4234,-715,-11989,0,1.34351e+07
857,26487,0,50497,26508,-4043,-696,-11989,0,1.34351e+07
773,26550,0,34892,26578,-3669,-684,-11989,0,1.34351e+07
647,26586,0,19860,26610,-3237,-671,-11989,0,1.34351e+07
545,26595,0,5951,26613,-2874,-659,-11989,0,1.34351e+07
